,Unnamed: 0,Compound,Tc
67,88,La1Fe0.99975Mn0.00025As1F0.11O0.89,23.8
68,89,Y1Ba2Cu2.97Zn0.03O6.63,42.5
69,90,Ba0.635K0.365Bi1O3,30.4
70,91,La1.85Sr0.016Ca0.074Ba0.06Cu1O4.01,25.4
71,93,Ga0.1Fe0.9Se0.85,6.8
72,94,Nb0.64Ta0.36,6.8
73,95,La0.97Nd0.03Pt1Si1,3.27
74,96,Bi0.055Sn0.945,3.94
75,97,Pa1,0.61
76,98,Y1Ni1.9Mn0.1B2C1,12.7
77,101,Y1Ba2Cu3Li0.02O7,91.18
78,102,Mg1.2C1.44B0.16Ni3,6.6
79,103,Bi4Sr3Ca1.6Y1.4Cu4O16,79.8
80,105,Bi4Rh1,1.966666667
81,106,Y1Ba1.86La0.14Cu3O6.98,89.4
82,107,Pd2.2S1,1.63
83,108,Ge1V3,6.86
84,109,Y1Sr2Cu2.8W0.2O6.9,45
85,110,Bi2Sr1.8Y0.1Ca1.1Cu2O8.23,93
86,111,Nb0.8V0.2,5.76
87,113,Fe1.03Te0.7Se0.3,12.7
88,114,Ge7Ir3,0.87
89,115,Ba0.51K0.49Bi1O2.974,22.2
90,119,Yb1Ba2Cu2.982Zn0.018O6.9,85.1
91,122,Fe0.2Ni0.8Zr2,2.13
92,123,Bi2.1Sr1.8Ca1Cu1.982Zn0.018O8,83
93,124,Pd1T0.81,4.0635
94,125,La1Ba2Cu2.9O6.82,45
95,127,Rh45Ta55,3.37
96,129,Y1Ba2Cu4O7.8,77.5
97,130,As1Nb3,2.353333333
98,131,La0.5Th0.5Sn3,4.67
99,132,La1.65Sm0.15Sr0.2Cu1O4,24
100,134,Pb0.3325Sn0.6175In0.05Te1,1.61
101,136,La1Fe1As1H0.3O0.7,38
102,137,Er0.88Ca0.12Ba2Cu2.82Co0.18O6.93,77.5
103,138,Ba1Fe1.84Co0.13Mn0.03As2,8
104,140,La7Ru3,1.835
105,141,Ir0.125Rh0.125Zr0.75,10.2
106,142,Al0.999Fe0.001,1.5
107,143,Ba0.542K0.458Bi1O3,23.1
108,144,Y0.6Lu0.4Ir4B4,3.06
109,145,Sr0.66Eu0.34Fe1.76Co0.24As2,9.82
110,147,Y0.9Pr0.1Ni2B2C1,11.2
111,148,Au0.93In0.07,0.0164
112,149,Co7Y91,2.85
113,150,La1Ru4Sb12,3.293333333
114,151,Al0.25Fe0.75Se0.85,8.5
115,153,Pd2Y0.25Tm0.75Sn1,3.06
116,154,Mg0.9Zn0.1B2,38.4
117,156,Nb2.85Hf0.15Al1,14.4
118,157,Nb0.9Ru0.1,2.8
119,158,Ca0.67Pt3B2,1.57
120,159,Ba1Fe1.894Pd0.106As2,13.3
121,161,Er1Ba2Cu2.78Zn0.18Fe0.03O6.93,46
122,162,Au0.635Ge0.205Yb0.16,0.325
123,164,Fe0.5Ba2Eu1Cu2.5O7.51,60
124,165,Pt1V3.5,1.26
125,166,Sm1.5Ce0.5Sr2Cu2Nb1O10,25
126,167,Sr0.75Y0.25Cu1O2,38.6
127,168,Pb0.93Tl0.075,6.98
128,169,La1Fe0.985Ru0.015As1F0.11O0.89,27.5
129,170,Bi2Sr2Ca1Cu2O8.2135,70
130,171,Cu0.025V0.975,4.45
131,172,Ir1Mo1,5.325
132,173,La1Fe1As1F0.18O0.82,14.3
133,174,Pr1Fe0.9Co0.1As0.95P0.05O1,14.2
134,175,Th1Ni2B2C1,6.966666667
135,176,La1Os2Ru2P12,7
136,177,Lu1Ni1.93Co0.14B2C1,10.5
137,178,Er0.25Ho0.75Rh4B4,6.44
138,179,Nb2.7Ti0.3Sn1,16.4
139,180,Bi1.7Pb0.3Sr2Ca0.98Nd0.02Cu2O8.05,80.89
140,181,Cd0.01In0.99,3.3445
141,182,Li0.28Zr1N1Cl1,13.4
142,183,Y0.8Ca0.2Ba2Cu2.8Zn0.2O6.74,44
143,184,Y1Ba2Cu3.99Zn0.01O8,73.3
144,185,U0.9622Th0.0378Be13,0.557
145,186,Ba1Ti2Sb1.6Sn0.4O1,2.31
146,187,Nb0.4Ti0.4V0.2,7.6
147,188,La3Te4,4.0275
148,189,Fe2As2Sr4V2O6,27
149,191,Gd0.002Th0.998,0.714
150,192,Nb0.4Zr0.6,8.86
151,195,Fe2As2Sr4Mg0.6Ti1.4O6,29
152,196,Ir0.99V0.01,0.11
153,197,Mg0.79Al0.21B2,27.1
154,198,Cu0.06Ta1S2,4.16
155,199,La1Ni1Ga2,1.97
156,200,Nb2.985Hf0.015Al1,18
157,201,Ca1Ba1La1Cu3O6.97,64
158,203,Y2I0.6Br1.4C2,6.4
159,204,Au0.3Te0.7,1.99
160,205,Ho0.5Dy0.5Ni2B2C1,5.905
161,206,Dy1Ba2Cu3O6.68,90
162,207,Ir0.66Mo0.34,0.25
163,208,Er1Ba2.03Cu3.05O7,90
164,209,Si10.9V3C0.1,16.4
165,210,Nb25Ti75,7.2
166,211,Rh1W1,3.37
167,212,Ca0.2Ba1.55La1.25Cu3O6.98,10.4
168,213,Dy0.9Tm0.1Ni2B2C1,4.55
169,214,Cu1Th2,3.465
170,216,Y1Ba1.25Sr0.75Cu3O6.928,85.5
171,217,Er0.9Gd0.1Rh4B4,6.88
172,218,Y1Ba2Cu2.7Ni0.3O6.9,46
173,219,In1.015Te1,3.51
174,220,Dy1Ba2Cu2.7Ga0.3O6.77,39
175,221,Pd0.7Se0.3,2.04
176,222,Cu0.81Ge0.19,0.24
177,223,Ga1Mo3,0.76
178,224,Hg1Ba2Cu0.97Zn0.03O4.052,69
179,227,Y1Re0.1Ba2Cu2.9O7,91.5
180,228,V0.75Ge0.2Al0.05,10.3
181,232,V2Hf0.84Nb0.16,10.67
182,233,Ge1.85La1,2.17
183,236,Nb0.72Pd0.18W0.1,1.5
184,237,La2Cu0.98Zn0.02O4.099,19.2
185,239,La0.05Ce0.95Ru2,7.181
186,240,Lu4.5Sc0.5Ir4Si10,6.06
187,241,La2Cu1O4.047,29.7
188,242,La1Sn3,6.358285714
189,243,Pd1Sn2,3.34
190,244,Ca1Fe2.94Co0.06As2,17
191,245,B2.4Nb1,9.96
192,246,Ba1Ni2Ge0.8P1.2,1.38
193,247,Bi2Sr1.6Ca1.2Y0.2Cu2O8.26,89.1
194,248,Mo64Ru16P20,7.31
195,249,Zr70.2Ti7.8Ni22,3.32
196,250,K0.27O3W1,0.5
197,251,Y1Ba2Cu2.7Co0.3O6.93,16.9
198,252,Mo1.935Zr0.065B1C1,6.2
199,253,Tl0.5Pb0.5Sr4Cu2C0.9N0.1O7,76
200,254,La0.8Hf0.2Bi1S2O1,2.36
201,255,Ta0.05V0.095,4.3
202,256,Y1Ba2Cu1O8,82.25
203,257,Ru1Sr2Gd0.91Nd0.09Cu2O8,23.5
204,259,Bi0.16Pb0.35V0.05Sr2Ca2Cu3O10.12,103.7
205,261,La0.6Y0.4,1.29
206,262,Tl1.8Ba2Ca2.2Cu3O9.92,112
207,263,Ru0.9Sr2Er1Cu2O7.8,23
208,264,C1S1,9
209,266,Y0.85Ca0.15Ba2Cu3O6.58,80.6
210,269,Pd0.285Zr0.61O0.105,2.09
211,270,La0.2Th0.8Ni1C2,4.2
212,272,Y1Ba1.9Ca0.1Cu4O8,85.4
213,273,La0.5Sm0.5Ba1Ca1Cu3O7,66
214,274,Er1Ba2Cu3O6.67,85
215,278,Rh0.4Zr0.6,7
216,279,V0.65Ge0.1Al0.25,7
217,280,La0.2Th0.8,1.87
218,281,Li1.1Ti1.9O4,10.05
219,282,Nb25Ti74Ta1,7.55
220,283,C1Nb0.1Zr0.9,4.2
221,286,Tm1Ni1.88Co0.24B2C1,1.6
222,287,Ce1Co1In4.96Cd0.04,2.05
223,288,Sn0.57Pb0.38In0.05Te1,0.703
224,289,Pr0.98La0.02Os4Sb12,1.8
225,290,Rh41Zr59,2.44
226,291,La1.425Nd0.4Sr0.175Cu1O4,25
227,292,In2Mo6Se6,1.425
228,293,Th1Ir3B2,2.09
229,296,V0.75Si0.2Al0.05,11.8
230,297,Ir0.95Rh0.05,0.075
231,298,Pt3V1,0.254
232,299,Ag7F4O8B1,0.15
233,302,Bi0.9Sb0.1,5.2
234,303,Gd0.02Pr1.83Ce0.15Cu1O4,18.5
235,304,Y1Ba2Cu2.91Zn0.09O6.6,6
236,305,Ta0.0355V0.9645,4.55
237,307,La0.95Pr0.85Sr0.2Cu1O4,27
238,308,La1.7Gd1.3Ca1Ba2.2Sr0.8Cu6.44In0.56O16.6,30
239,309,Ca0.1Ba1.65La1.25Cu3O7.03,29.9
240,311,La7Ir3,2.33
241,313,Ce0.005La0.995,4.935
242,314,In0.75Sn0.25,5.95
243,315,Ba1Fe1.81Zn0.08Co0.11As2,11
244,316,Zr1Ni1.5V0.5,0.43
245,317,B0.67Mg0.33,6.1
246,320,La0.9Ce0.1Ru2,3.012
247,321,Mo0.3U0.7,1.97
248,322,La1Fe1As1F0.06O0.94,18
249,323,Nb2In1C1,7.5
250,325,Ba0.91Ce0.09Fe2As2,4.12
251,326,Ce1Pt2.94Ni0.06Si1,0.545
252,327,Nb41.25Ta13.75Ir45,4.35
253,328,La1.75Sr0.25Cu1O3.921,19.6
254,329,Sm1.844Ce0.156Cu1O4,16.4
255,330,C1Mo0.8Ta0.2,8.7
256,331,Y1Ba2Cu3.99Ni0.01O8,78.4
257,332,Bi1,5.867142857
258,333,Hg3Zr1,3.28
259,335,Sr1Fe1.5Ru0.5As2,10.25
260,337,Pb0.987Tl0.013Te1,1.32
261,338,Sm1La0.8Sr0.2Cu1O3.925,19.6
262,339,Sn0.8075Pb0.1425In0.05Te1,2.81
263,340,Y1Ni1.94Co0.06B2C1,11.8
264,341,Y1Ba2Cu2.98Ni0.02O6.95,87.5
265,343,La1Nd0.87Ce0.13Cu1O3.975,16.8
266,344,Bi2Sr2Ca0.65Y0.35Cu2O8.3,74
267,345,V3Ga0.793Sb0.207,6.9
268,346,Al0.3Be0.7,6.5
269,347,Pb0.6Cu0.4Sr1La1Cu1O5.06,37.8
270,349,Pd1.05Te2,1.77
271,350,Pr1.85Ce0.15Cu0.98Zn0.02O4.065,18.01
272,351,Li2B1Pd0.9Pt2.1,2.31
273,352,Nd1.3Ba1.3Sr0.4O6.828,35
274,353,Y1Ni1.86Fe0.14B2C1,6.2
275,355,In1.1Te1,2.8
276,356,Bi2Sr2Ca0.9Y0.1Cu2O8.2,89
277,357,C3Ho0.4Th1.6,5.5
278,358,Ir0.8Rh0.2,0.03
279,359,Er4Rh6Sn19,1.2
280,360,B2.5Nb1,6.4
281,361,V2Ir1B2,1.12
282,362,Co0.038Mo99.962,0.22
283,363,Tm1Ba2Cu3O6.94,89.88
284,364,La0.9Ba1.5Ca0.6Cu3O6.74,73
285,365,Sc0.7Y0.3Ni2B2C1,14.5
286,366,La1.2Ba1.8Cu3O7.3,27
287,367,Bi1Pd1Te1,1.2
288,368,Ba1Fe1.64Ru0.36As2,8.43
289,369,Tm1Ni1.98Co0.04B2C1,9.2
290,370,Ba0.7K0.3Fe1.72Co0.28As2,12
291,371,Ga5V2,3.57
292,372,Ba0.5K0.5Fe2As2,35.28
293,373,La2Ba4Cu6O13.8,65
294,376,Fe1.02Te0.5Se0.5,13.6
295,377,Fe1Se0.4Te0.6,14.1
296,378,La1.875Ba0.05Sr0.075Cu1O4,15.25
297,379,Y1Sr2Cu2.75Re0.25O7.3,49
298,380,La0.8Y0.2Fe0.997Mn0.003As1F0.11O0.89,28.9
299,384,Ca9.39Pr0.61Pt3Fe10As18,19.5
300,386,Y1Ba2Cu3O6.773,71.2
301,387,K0.95Bi1.05O3,8.1
302,388,Ca0.82La0.18Fe1As1.99P0.01,39
303,389,C1Hf0.5Nb0.5,4.8
304,391,La0.97Gd0.03Ru2,2.73
305,392,Y1Ba2Cu2.91Zn0.09O6.95,56
306,393,Ce1Ru1.97Co0.03,3.5
307,394,Mo0.1Ti0.9,3.25
308,395,Pr0.89La1Ce0.11Cu1O4,24.6
309,396,K0.8Fe1.979Mn0.021Se2,31
310,397,V0.75Ge0.1875Al0.0625,11.4
311,399,Fe1Sr2Y1Cu2O7.66,43.5
312,400,Tl2Ba2Ca0.9Ce0.1Cu2O8,100
313,402,Au0.988Pd0.012Ga2,1.25
314,403,Y1Ba2Cu2.95Zn0.05O6.63,25
315,404,Pd1Te1,3.01
316,407,Nb0.9Ti0.1,9.61
317,408,Ca0.8La0.2Fe0.9558Co0.0442As2,35.1
318,409,Sr15.9Ca7.6Cu17.6C3.3B2.6O53,105
319,410,Y1Ba1Sr1Cu3O6.9,92
320,411,La1Fe0.9Rh0.1As1O1,14
321,412,Ba1Ti2Sb1.6Bi0.4O1,3.47
322,415,Nd0.9Pr0.1Ba2Cu3O6.75,35.9
323,416,Ag0.1Tl0.9,3.57
324,417,Ga22Nb78,15.6
325,419,Mo0.98Nb0.02Ga4,8
326,421,Pt1Sb1,2.1
327,422,Li0.33V2O5,8.5
328,423,Ta0.85W0.15,1.95
329,424,In0.8Tl0.2,3.223
330,425,Ti0.588V0.392Fe0.02,6.79
331,428,La1.72Nd0.2Ba0.08Cu1O4,16.9
332,430,Gd0.71Pr1.14Ce0.15Cu1O4,8.1
333,431,C1K1,0.55
334,432,Cu2Mo6S6O2,9
335,433,La1.6Er0.4Ba2Ca0.8Cu4.8O11.424,76
336,434,In0.25Tl0.75,3.64
337,435,Bi4.4Sr3.6Ca2Cu4O1Y1,83.6
338,436,Lu0.92La0.08Ni2B2C1,13.6
339,437,Bi1.5Pb0.5Sr1.7La0.3Cu1O5.993,15.6
340,438,Hf0.33Nb0.33V0.33,6.6
341,439,Nd1Ba2Cu3O6.67,29
342,440,La0.85Ca0.15Nd1Cu1O4,23
343,441,Lu4.5Tm0.5Ir4Si10,2.84
344,445,Sr11Ca10Cu24O41,3
345,446,La0.85Ce0.15Ru2,2.444
346,448,Nb2.895W0.105Al1,16
347,450,Zr1Ru0.95Rh0.05P1,6.15
348,454,C0.97Ta1,11.84
349,455,Nb0.94Ta0.06,8.76
350,456,Pt1Si1,0.88
351,461,Tl0.5Pb0.5Sr2Ca0.8Y0.2Cu2O7,105.2
352,462,Mg0.996Cu0.004B2,38.11
353,463,La1.5Nd0.5Ca1Ba2Cu4.95Mo0.05O11.345,76
354,467,B1I3,1.86
355,468,Nb79.5Sn2.1Al6.1Ge12.3,9.4
356,470,Y0.6Pr0.4Ba2Cu3O6.85,27.8
357,471,Bi0.07Pb0.93,7.7
358,472,Nb0.26U0.74,1.85
359,473,Pd1Zr3,2.96
360,475,Y0.6Ca0.4Ba1.6La0.4Cu3O6.95,82
361,476,Hg1Tl1Ba2Ca3Cu4O12,110
362,477,Y1Ba2Cu2.8Fe0.2O6.85,57.7
363,479,Er0.9Tb0.1Ni2B2C1,8.52
364,480,Fe2As2Ca5Al1.5Ti1.5O91,15
365,481,Ga1N1,2.925
366,482,B5Nb1.8Zr0.2,5.9
367,483,Yb1Al1B4,0.08
368,484,Sm1Fe1As0.47P0.53H0.09O0.91,10.5
369,485,Cu0.98Co0.02Rh2S4,1
370,486,Lu5Ir4Si8Ge2,6.6
371,487,Y0.7Ca0.3Sr1.5Ba0.5Cu2.8Cr0.2O7,41
372,488,Y0.6Pr0.4Ba2Cu3O6.929,45.05
373,489,Hf1V2D0.5,5.93
374,490,In1,3.549542857
375,491,Ga2La1,0.575
376,492,Er1Sr2Cu2.85Re0.15O1Y1,47
377,493,Sr1Si1.9Ni0.1,2.3
378,494,La1.85Sr0.15Cu0.9Mg0.1O4,29.6
379,496,Bi2Sr1.9La0.1Ca1Cu2O1Y1,85.04
380,497,Hg0.9W0.1Ba2Cu1O4.2,89
381,498,Sn18.43Er4.57Rh6,0.97
382,499,Sb1.16S5.16Ta2,3
383,500,Sr1.5Ba0.5Y1Cu2.8Ga0.2O6.96,32
384,501,Nd0.1La1.7Sr0.2Cu1O4,35
385,502,La0.95Ce0.05Ru4P12,6.8
386,504,Br2,1.4
387,507,Al0.22La0.78,4.3
388,508,Mg0.55Al0.225Li0.225B2,25.6
389,509,Ru0.97Co0.03Sr2Gd1Cu1O8,13
390,510,Nb0.75Al0.185Ge0.065,20.26
391,511,Sm1Ba2Cu2.9Zn0.1O6.83,29
392,512,Ce1Pt0.2Ru1.8,3.4
393,513,Y0.9Ca0.1Ba1.6Sr0.4Cu4O7.8,85.5
394,514,Sm1Fe0.94Ni0.06As1O1,9
395,515,Y0.95K0.05Ba2Cu3O6.6,89.4
396,516,Tl0.5Pb0.5Sr2Ca1Cu2.95Zn0.05O7,73
397,517,Ga0.255V0.745,13.9
398,518,Mg0.85Na0.15B2,38
399,521,Mo1.75Ru1.25B2,3.7
400,522,Zr1P1.6S0.4,4.36
401,523,Ca2Cu1Cl2.25O2,31
402,524,Sr2Cu1C0.85B0.15O5,32
403,527,Au0.28Te0.72,1.96
404,528,Ca1Si2.2,1.37
405,529,Hg0.97Tl0.03,4.109
406,531,Pb1.14Ta2S5.14,3.3
407,532,Y1Ba2Cu2.745Fe0.255O7.08,53
408,533,Na1Fe0.979Co0.021As1,19.4
409,535,Sm1Fe0.89Ir0.11As1O1,18.3
410,536,Th1.2Er0.8C3,7
411,537,Er0.03La0.97,4.49
412,538,Y1Ru1B4,1.38
413,541,Sm0.9Pr0.1Ba2Cu3O6.75,36.3
414,542,Ce1Fe1As0.55P0.45F0.05O0.95,15
415,543,Ba0.788K0.212Fe2As2,19
416,544,Y1Ba2Cu2.84Fe0.16O6.959,53
417,546,Y1Ba1.8La0.2Cu4O8,44
418,547,Y1Ba1.9Sr0.1Cu4O7.9,78
419,549,Pd2Se1,2.2
420,550,Rh0.06Zr0.94,5.866666667
421,551,Ce1Fe1As1H0.065O0.935,41.1
422,553,Ir2Zr1,4.1
423,556,La1Ni1B1N1,1.96
424,557,Ce1Co1In4.94Sn0.06,1.565
425,558,Y1Pd2Pb1,4.13
426,561,Ca10Pt4.6Fe9.4As18,22.5
427,562,Li0.99Fe1.01As1,14
428,563,Nb2Pd0.67Se5,1.2
429,564,Bi2K1,3.575
430,565,Dy1Ba2Cu2.94Zn0.06O6.9,62
431,567,Ir0.89Rh0.11,0.06
432,568,Lu1Ni1B0.8C1,2.6
433,573,B2.34Nb1,9.16
434,574,Co7.32Ga25V67.68,5.03
435,576,Hf1V2H0.4,8.42
436,577,La1.5Nd0.5Ca1Ba2Cu5O11.583,79
437,578,Hg1Ba2Cu1O4.052,82
438,579,Cu0.05V0.95,3.85
439,582,Fe1Te0.54Se0.45S0.01,13.3
440,583,C8Rb1Hg1,1.41
441,585,Ho1Rh3Ru1B4,6.35
442,586,Y0.9Fe0.1B6,3.3
443,588,Ir3La7,2.28
444,589,Mo0.52Re0.48,11.1
445,590,Mo0.059Zr0.941,4.15
446,592,N0.92Nb1,16.5
447,593,Cs0.005W1O3,5.9
448,595,Ho1Rh4B4,0.7
449,597,Fe1.04Se0.33Te0.67,14.1
450,598,V3Ga0.9Sn0.1,10.7
451,599,Tm1Ba2Cu3O6.72,64.5
452,600,Ca0.81Nd0.19Fe1As2,11
453,602,Y1La0.2Ba1.8Cu3O7.49,90.4
454,603,Sn0.6175Pb0.3325In0.05Te1,1.6
455,604,Sr0.88La0.12Cu1O1.97,42.4
456,605,U1Ir2Si2,1.1
457,606,Th0.05Zr0.95,0.73
458,607,Bi2Sr1.6Nd0.4Cu1O6.32,23.1
459,608,Ba1Fe1.8Ni0.2As2,6.4
460,609,Lu2Ir3Si4.9Ge0.1,7.74
461,611,Ti1.38V1.62Sb1,1.49
462,613,Be2Ta3,1
463,614,Ag7B1F4O8,0.15
464,615,Hg0.5In0.5,3.81
465,616,Mo0.025Ti0.975,1.8
466,617,V2.7Mn0.3Si1,11.9
467,619,La3Pr0.3In1,6.2
468,621,Ce1Rh1Si3,0.914
469,622,Hg0.8Mo0.2Ba2Cu1O4.4,74
470,623,Ba1Pb0.78Bi0.22O3,10.3
471,624,Tl0.5Ba2Ca0.3Be1.7Cu3.5O7.685,115
472,626,Ce1Ir0.956Pt0.044In5,0.429
473,627,Ba0.5K0.5Fe1.9Cu0.1As2,22.29
474,628,Ag0.1In0.9Te1,1.2
475,630,Ce1Rh0.25Ir0.75In5,0.63
476,631,Ag0.865Sb0.135,0.014
477,632,Ta1,4.3769
478,633,Hg0.5Bi0.5Sr2Ca2Cu3O8.35,107
479,634,Nb3Sn0.92Al0.08,17.9
480,635,Cu0.844Sb0.156,0.067
481,636,Ga26.5V73.5,13.6
482,638,Ba0.65K0.35Fe2As2,38
483,639,Eu1Pt1Si3,3.7
484,640,Tm1Ir3.6Rh0.4B4,1.48
485,644,Y0.9Pr0.1Ba2Cu3O6.965,85
486,645,Fe1Te0.57Se0.43,15
487,646,Ce1Bi1S2F0.9O0.1,6.855
488,647,Y1Ba2Cu2.79Zn0.21O6.97,14.2
489,648,Ba1Ni2As2,0.783333333
490,649,Cs2Cr3As3,2.025
491,650,Nd1.7945Y0.0555Ce0.15Cu1O4,19
492,652,Sr2Mg0.3Ti0.7Fe1As1O3,36.7
493,659,Bi1Pb1Sr2Y0.65Ca0.35Cu2O8,76
494,660,Nb0.95Mo0.05C1,12.1
495,661,La1.85Sr0.03Ca0.066Ba0.054Cu1O4,24
496,662,Pb0.5Sr2Ca0.5Nd0.5Cu2.5O7,60
497,663,Ca1.9K0.1Cu1Cl2O2,18
498,664,Ba0.47K0.53Bi0.979Pr0.021O3,4.5
499,665,La1Fe0.8Zn0.2As1F0.15O0.85,25.5
500,666,Cs1,0.75
501,668,C1.45Y0.9Zn0.1,13
502,670,Hf0.36Nb0.62Zr0.02,7.75
503,671,Sr0.42K0.58Fe2As2,36
504,672,Co35.38Zr64.62,2.67
505,674,Ce1Rh0.07Co0.93In5,1.89
506,675,Ho0.3Lu0.7Ni2B2C1,13.3
507,676,C1.45Cr0.1Y0.9,12.4
508,677,Al0.75Ge0.25Nb0.003,20.7
509,678,W5Si1B2,5.8
510,679,Ca0.4Ba1.15La1.45Cu3O7.12,7.6
511,680,Pr1V2Al20,0.029666667
512,681,Y1Ba2.01Cu2.81Ni0.19O6.7,65
513,682,Hg0.5Fe0.5Sr2Y0.6Ca0.4Cu2O6.7,46
514,683,C1Rh1,1.666666667
515,684,Y1Ba2Cu2.985Zn0.015O6.95,86
516,685,Ni0.011V0.989,3.82
517,686,Yb3Co4Sn13,2.5
518,687,La1Ba1.75Ca0.25Cu3O6.951,80
519,689,Bi2Sr2Ca1Cu2I0.69O8.242,53.1
520,690,As0.15Nb3Sn0.7Tl0.15,17.98
521,692,Mo0.202Zr0.798,5.25
522,693,Y1Sr0.4Ba1.6Cu2.5B0.5O7,35
523,694,Ta0.6Mo0.4C1,8.67
524,695,Se2Ta1,0.1075
525,696,Nb0.1Ti0.9N0.98,6.48
526,697,Ba1Fe1.75Co0.25As2,22
527,698,Fe2As2Sr4Mg0.4Ti1.6O6,28
528,699,Y1Ba2Cu2.95Fe0.05O6.6,26.2
529,702,Tl1Sr2Ca1Cu2O6.85,24
530,703,Sr1Pt2.1Pd0.9P1,5.78
531,704,Li2Mo15Se19,2.6
532,705,Nd1.83Ce0.17Cu1O4,12.8
533,706,Lu0.9Gd0.1Ru1B2,6.4
534,707,Bi1.6Pb0.4Sr2Cu3Ca2O1013,102
535,708,Nb0.8Pd0.2,1.98
536,709,Y1Ba1.8La0.2Cu3O6.95,78
537,710,Er5Os4Si15,5.5
538,711,Cr34.9Ga25V40.1,5.48
539,712,Y1Ba2Cu2.91Zn0.09O6.83,45
540,713,Y0.9Ca0.1Ba2Cu2.9Co0.1O6.76,57.5
541,716,Nd1.85Ce0.15Cu0.997Ni0.003O4,15.65
542,717,La0.99Nd0.01,4.915
543,718,Yb1Ba1.6Sr0.4Cu3O6.88,80.2
544,719,La1.8Sr0.2Cu0.65Ni0.35O4,8
545,720,As0.15Nb3Pb0.15Sn0.7,18.05
546,721,Sn0.057V0.943,1.6
547,722,Mg4Ni6B2,4
548,723,La1.73Sr0.27Cu0.94Co0.06O4,34
549,724,La1.5Ba1.1Ca0.4Cu3O7.05,55
550,725,Mn0.05Rh0.04Ti0.91,2.4
